playlistId;title;description;publishedAt;itemCount
PL63lwGZ_8vsloyjQiFZ3eKpzOqgsJ7BRA;تقارير سينما;حسام عاصي يقدم تقارير سينمائية ومقابلات من نجوم عالميين وهوليووديين;2018-06-19T09:56:12.000Z;14
PL63lwGZ_8vslH7RneOfgvC6tIU5aFTloc;صندوق النغم;;2018-02-22T15:46:47.000Z;3
PL63lwGZ_8vsnRxZpE17HpMW266jzhOCAW;برنامج مصاريف الموسم الثاني;;2017-10-25T17:31:04.000Z;1
PL63lwGZ_8vslFgQaBhg-xwDNqulpiXJhx;بي بي سي ترندينغ;;2017-10-24T07:19:05.000Z;35
PL63lwGZ_8vsl0dtWiLprUPw6PFfDZieGP;حريق لندن;;2017-06-14T11:08:06.000Z;4
PL63lwGZ_8vskpdqyOLsnXmavpq3gl7RlR;الأزمة الخليجية;"أعلنت أربع دول خليجية هي السعودية والبحرين والإمارات واليمن إضافة إلى مصر وحكومة شرق ليبيا قطع علاقاتها الدبلوماسية مع قطر بسبب ""تدخلها في الشؤون الداخلية ودعم الإرهاب""، بحسب بيانات رسمية.
ونقلت محطة الجزيرة عن وزارة الخارجية القطرية إعرابها عن الأسف لقرار السعودية ومصر والإمارات والبحرين قطع العلاقات الدبلوماسية معها. وقالت الوزارة ""الإجراءات غير مبررة وتقوم على مزاعم وادعاءات لا أساس لها من الصحة"".
وقالت وزارة الخارجية القطرية إن هذه القرارات تهدف الى ""وضع قطر تحت الوصاية، وانها تعد انتهاكا لسيادة الدولة القطرية.""";2017-06-06T10:26:34.000Z;20
PL63lwGZ_8vsny5pHIZDhal7A-4_vfvd4E;رمضان;شهر رمضان;2017-05-26T09:37:01.000Z;8
PL63lwGZ_8vskKoY95KdGV4Vmi54QDsLeZ;انفجار مانشستر: آخر التطورات;"قُتل 22 شخصا وأُصيب نحو 50 آخرين في انفجار، يُشتبه في أنه إرهابي، بقاعة للحفلات الموسيقية في مدينة مانشستر بشمال بريطانيا.
وبلغ الشرطة طلبات استدعاء بعد أنباء عن انفجار في نحو الساعة 22:35 بالتوقيت المحلي (بتوقيت 21:35غرنيتش) عقب حفل للمغنية الأمريكية أريانا غراندي في قاعة ""مانشستر ارينا"".
تابعوا صفحة تغطيتنا المباشر لتفجير مانشستر وتداعياته http://www.bbc.com/arabic/live/40007898";2017-05-23T09:06:54.000Z;7
PL63lwGZ_8vsnrkK7Ht7tkPTV23xLBZQC_;رياضية;"""رياضّية"": نزور الرياضيات حول العالم لنصور واقعهم بجيدّه وسيّئه ونتحدث عن أسباب هذا الواقع
أخبار رياضية و أكثر في حلقة الاثنين الساعة 19:45 بتوقيت غرينتش.";2017-05-09T06:09:35.000Z;29
PL63lwGZ_8vsnVj1gEl6XFg6X3xS7QXb0K;الانتخابات الفرنسية;;2017-04-21T11:20:27.000Z;6
PL63lwGZ_8vsmSyUk2lFDHqpvLPLarglYX;أخبار بي بي سي المغاربية;;2017-04-19T14:41:43.000Z;7
PL63lwGZ_8vsk8x-D82gXAV6a913NVbYWy;أخبار بي بي سي المغاربية;;2017-04-19T14:40:31.000Z;10
PL63lwGZ_8vsnw3Q0oX64oCMBnAViIg8F9;360 - فيديوهات بتقنية ٣٦٠ درجة;;2017-04-06T12:25:26.000Z;7
PL63lwGZ_8vsnzEYhGht6B65ZDsw60BCBf;برنامج مصاريف;;2017-02-22T16:57:06.000Z;22
PL63lwGZ_8vsnmWuxFBTL6NulPaYZXj0zv;4 Tech - فورتك;"4 تك: دليلك الى عالم التكنولوجيا والابتكارات
برنامج اسبوعي على شاشة بي بي سي عربي يقدم أحدث أخبار التقنية والابتكارات والتكنولوجيا في تقارير خاصة وحصرية .";2017-02-22T13:04:08.000Z;256
PL63lwGZ_8vskx71P6yw_-Q-N1bu8d67YA;أفضل لاعب كرة قدم في أفريقيا لعام ٢٠١٦;"أعلنت بي بي سي عن القائمة المختصرة للمرشحين للفوز بجائزتها لأفضل لاعب كرة قدم في أفريقيا لعام 2016. 
وضمت القائمة الجزائري رياض محرز لاعب ليستر سيتي الانجليزي، والايفوراي يايا توريه لاعب مانشستر سيتي الانجليزي، والغابوني بيير إمريك أوباميانغ لاعب بروسيا دورتموند الألماني، والغاني أندريه أيو لاعب سوانزي سيتي الانجليزي، والسنغالي ساديو مانيه لاعب ليفربول الانجليزي. 
ويستمر التصويت لاختيار أفضل لاعب حتى 28 نوفمبر / تشرين الثاني الجاري عبر موقعنا الالكتروني على الرابط التالي http://www.bbc.co.uk/sport/football/37925428";2016-11-25T10:39:54.000Z;10
PL63lwGZ_8vsmYUZXf965VLfe4ljcpQysh;الانتخابات الأمريكية;;2016-11-03T12:50:09.000Z;20
PL63lwGZ_8vslDxLpLRNa-MdhCmmcpkw23;Shame Online - العار أونلاين;;2016-10-26T10:34:02.000Z;30
PL63lwGZ_8vsmKqel7eyw3uVZdkdeTfcST;عملية استعادة الموصل;;2016-10-18T10:43:40.000Z;52
PL63lwGZ_8vsn-9mcYs-YdbkB4_u90u7UD;الانتخابات المغربية;;2016-10-07T10:18:00.000Z;4
PL63lwGZ_8vslY2l7PxgWvIvIOjzJQEdij;أولمبياد ريو;;2016-08-09T09:27:50.000Z;6
PL63lwGZ_8vsnGvpYIWID1PCmIwKoadzDQ;سعوديون على مواقع التواصل الاجتماعي;;2016-03-07T11:47:13.000Z;5
PL63lwGZ_8vsmkPeNHBYJbTkHK_m2qxmjX;مقابلات حصرية;;2016-02-05T13:28:17.000Z;43
PL63lwGZ_8vslmyHqZ4J2zE2-LiQFv8KxP;شخصيات في الأخبار;تعرف على نبذة من حياة السياسيين والقادة والمشاهير;2016-01-13T13:04:28.000Z;28
PL63lwGZ_8vslughLFN-gPsZxHysF6zVtd;حصاد العام ٢٠١٥;;2015-12-30T19:15:56.000Z;6
PL63lwGZ_8vsm_UuLjq-cVtDU5ZQXecn81;100 امرأة;"أعلنت بي بي سي أسماء المئة امرأة الأكثر إلهاما في العالم.
وهذا العام هو العام الرابع الذي تحتفل فيه بي بي سي بموسم 100 امرأة، والذي يسعى إلى تمثيل النساء بصورة أفضل في تغطية بي بي سي لأخبار العالم.";2015-11-25T15:54:32.000Z;35
PL63lwGZ_8vsnxiYQ6whBrI0BSFgcRbovm;تحدي المذيع;مذيعو بي بي سي اكسترا كما لم تروهم من قبل، ينفذون تحديات من زملائهم;2015-07-02T10:49:09.000Z;4
PL63lwGZ_8vslU3eItyVBoojgUs-xiYcUj;اصوات من فلسطين;;2015-06-30T16:02:04.000Z;2
PL63lwGZ_8vskdGofKQXjWFA-ty-rOj5lH;عالم الكتب;عالم الكتب، يأتيكم عبر أثير راديو بي بي سي كل يوم ثلاثاء عند الساعة سابعة مساء، ويعاد يوم الخميس في الساعة التاسعة صباحا، ويوم السبت في الساعة الثامنة مساء بتوقيت غرينيتش;2015-06-29T09:22:20.000Z;5
PL63lwGZ_8vsn9_923VD1tTaTu5KOx46pp;شهود على سقوط الموصل;"بعد مرور عام على سيطرة تنظيم ""الدولة الإسلامية"" على الموصل، ثاني أكبر مدينة في العراق، يمسك التنظيم بالمدينة بقبضة من حديد.
وتحدث بعض من تمكن من الفرار من الموصل إلى بي بي سي عن كيفية سقوط مدينتهم بيد مجموعات المسلحين المتشددين.";2015-06-12T17:24:09.000Z;8
PL63lwGZ_8vsneL0EZnjED1KixYKzJz6dr;الانتخابات البريطانية;;2015-05-06T15:46:56.000Z;10
PL63lwGZ_8vskxEJzzagvnGjmIXRUKTUH2;رشا قنديل;;2015-04-01T17:24:41.000Z;206
PL63lwGZ_8vslJrLqt3nYvEXLKK0Jby7g0;اليمن;بين عملية عاصفة الحزم والحوثيين;2015-03-27T07:52:00.000Z;53
PL63lwGZ_8vsnv3skmO-IQx2qCZYHo2gJC;Syrian Journey - رحلة سورية;;2015-03-25T16:10:51.000Z;2
PL63lwGZ_8vsm1yEHt93kuXvfZFlCMO-aT;BBC Xtra - بي بي سي إكسترا;;2015-03-11T15:17:32.000Z;158
PL63lwGZ_8vslJAy1PwybVv7AhlDKRH_p9;سلسلة الأفلام الوثائقية عن قرب;عن قرب سلسلة أفلام وثائقية تنتجها بي بي سي;2015-02-22T11:10:39.000Z;53
PL63lwGZ_8vsnQ3JyE-HI4Ybc0cPZBiA-D;العالم هذا المساء;;2015-02-21T11:31:10.000Z;266
PL63lwGZ_8vsmS_Ko3D0_xixtp7rwXn-Q9;مقابلة بشار الأسد;;2015-02-11T21:59:51.000Z;4
PL63lwGZ_8vsld481BfrxS2uOHrGFHWDQZ;أرشيف بي بي سي;انطلقت إذاعة البي بي سي في الثالث من كانون الثاني/ يناير في عامها السابع والسبعين بي بي سي ستقوم بنشر الأرشيف من مقابلات حصرية وأخبار تاريخية على اليوتيوب كل خميس;2015-01-30T12:23:49.000Z;10
PL63lwGZ_8vsnXFs7aROjOP9Hd6pvZ0HIo;منوعات من العالم;اخبار  من أنحاء العالم;2015-01-23T17:23:44.000Z;322
PL63lwGZ_8vslP-80HBEtpJoJ5r-1BCBf2;شارلي ابدو;;2015-01-15T11:28:22.000Z;11
PL63lwGZ_8vskhe3XA_Q-8tpAtddGtM1kY;أبرز أخبار ٢٠١٤;;2014-12-30T10:47:08.000Z;6
PL63lwGZ_8vsnwFnCVVHZNEyCmA4Ap5roF;الانتخابات التونسية;;2014-12-19T18:15:21.000Z;5
PL63lwGZ_8vslGS5mKb60decPlhVoyo0vz;بي بي سي ترند - BBC Trend;;2014-12-14T09:28:02.000Z;18
PL63lwGZ_8vskjn-6f7zbyVEVu0_TSDl58;"الحرب على تنظيم ""الدولة الاسلامية"" (داعش)";تغطية بي بي سي عربي ل تنظيم الدولة الإسلامية داعش من اخبار وافلام وثائقية;2014-11-28T11:01:29.000Z;289
PL63lwGZ_8vslBE8XXQiHML8dCkEIWU13q;الانتخابات البحرينية;;2014-11-25T13:22:50.000Z;3
PL63lwGZ_8vsnjg4nvae5BaWl7eWcnk0E3;بتوقيت مصر;بتوقيت مصر برنامج اسبوعي يطرح أهم الأسئلة التي يستقيها فريق البرنامج من الشارع المصري ليطرحها ح مقدم البرنامج في مناقشة مستمرة لأهم القضايا والهموم في مصر;2014-11-22T15:01:28.000Z;95
PL63lwGZ_8vsmrakSqcEZm0T6ZQxrrLWcw;هجوم على كنيس يهودي في القدس;"قتل أربعة إسرائيلين على الأقل وجرح سبعة آخرون في ما وصفته الشرطة الإسرائيلية بأنه ""هجوم إرهابي"" على كنيس يهودي في القدس.
وأضافت الشرطة أن شخصين مسلحين بسكاكين وفؤوس ومسدس نفذا الهجوم في شارع هاراف شيمون أغاسي حيث تقطن غالبية من اليهود المتشددين في حي هار نوف بالقدس.";2014-11-19T11:28:01.000Z;5
PL63lwGZ_8vsmQvMqvvCdb0QLJJBLRFPHz;مهرجان بي بي سي عربي BBC Arabic Festival;‘Films & Documentaries from a Changing Arab World’ // أفلام ووثائقيات من عالم عربي متغير;2014-09-19T09:41:01.000Z;115
PL63lwGZ_8vsk90uvB6Sk-mUJqdlvSroUn;دنيانا DUNYANA;;2014-05-22T13:03:38.000Z;346
